charge_code,dmpsj_category
50DC2421.04,Vehicle
IDACT TITLE 1(B)SEC3,Vehicle
IDACT TITLE 1B SEC3C,Vehicle
18USC00843,Weapons
18USC00922g1,Weapons
18USC00922g9,Weapons
18USC00922j,Weapons
18USC00922k,Weapons
18USC00922q2A,Weapons
18USC00922w1,Weapons
18USC00931,Weapons
18USC00931A,Weapons
18USC03665,Weapons
18USC2332f,Weapons
22004504(A)(1)X(2001,Weapons
22DC2511,Weapons
22DC3020(A)(6),Weapons
22DC3154(B),Weapons
22DC3202 (2000 ED),Weapons
22DC3204(B)(2000 ED),Weapons
22DC3305,Weapons
22DC45,Weapons
22DC4502,Weapons
22DC4502.01AB-X,Weapons
22DC4502.01AB-Y,Weapons
22DC4502.02(B),Weapons
22DC4503,Weapons
22DC4503(A)(1)(B)(1),Weapons
22DC4503(A)(3),Weapons
22DC4503(A)(5),Weapons
22DC4503(A)(6),Weapons
22DC4503.01,Weapons
22DC4503A1,Weapons
22DC4503A2,Weapons
22DC4503-X,Weapons
22DC4503-Z,Weapons
22DC4504,Weapons
22DC4504(A)(1),Weapons
22DC4504(A)(1)(2001,Weapons
22DC4504(A)(1)X(2001,Weapons
22DC4504(A)(2),Weapons
22DC4504(A)(2)(2001,Weapons
22DC4504(A)(2)X(2001,Weapons
22DC4504(A)(2)-Y,Weapons
22DC4504(A)(2)-Y-1,Weapons
22DC4504(A)(2)-Y-2,Weapons
22DC4504(A)(2)-Y-3,Weapons
22DC4504(A)(2)-Z,Weapons
22DC4504(A)(2)-Z-1,Weapons
22DC4504(A)(2)-Z-2,Weapons
22DC4504(A)(2)-Z-3,Weapons
22DC4504(A)-Y,Weapons
22DC4504(A)-Y-1,Weapons
22DC4504(A)-Y-2,Weapons
22DC4504(A)-Y-3,Weapons
22DC4504(A)-Z,Weapons
22DC4504(A)-Z-2,Weapons
22DC4504(A)-Z-3,Weapons
22DC4504(A-1),Weapons
22DC4504(A-1)(A)(2),Weapons
22DC4504.01,Weapons
22DC4504.02,Weapons
22DC4504.02(B)(1),Weapons
22DC4504-1,Weapons
22DC4504A[1][2],Weapons
22DC4504A1-X,Weapons
22DC4504A1-Y,Weapons
22DC4504A1-Y-1,Weapons
22DC4504A2,Weapons
22DC4504A2-1,Weapons
22DC4504A-X,Weapons
22DC4504A-X-1,Weapons
22DC4504A-Y,Weapons
22DC4504B,Weapons
22DC4514,Weapons
22DC4514[A][C],Weapons
22DC4514A,Weapons
22DC4514B,Weapons
22DC4515A,Weapons
22DC4515A(B),Weapons
22DUSC04503,Weapons
24DCMR2301.3,Weapons
26USC05861g,Weapons
26USC05861h,Weapons
"26USC5811,5812",Weapons
36RUSC1002.4a1i,Weapons
7DC2501.01(7),Weapons
7DC2502.01,Weapons
7DC2502.01(A),Weapons
7DC2502.1[A],Weapons
7DC2502.1[A] X,Weapons
7DC2505.01,Weapons
7DC2506.01,Weapons
7DC2506.01(A),Weapons
7DC2506.01(B),Weapons
7DC2507.02(B),Weapons
7DC2508.01,Weapons
7DC2509.04(C),Weapons
ACT 17-0652 SEC 4,Weapons
ACT16-445 SEC 223,Weapons
USCACT16-445SEC223,Weapons
